Loligo duvauceli,Sardinella sp,Rastrelliger kanagurta,Metapenaeus sp,Decapterus russelli,Scomberomorus sp,Stolephorus sp,Ephippus,Squilla sp,Elops,sea lice
2,0,0,0,0,0,0,0,0,0,0
1,1,0,2,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0
2,0,0,2,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,4,0,0,0,0
1,1,0,0,0,0,3,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,3,0,0
2,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,3,0,2,0,0
2,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,5,0,3,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,3,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
