Charybdis sp,Sardinella sp,Loligo duvauceli,Mysis,Miyakea nepa,Metapenaeus sp,Cynoglossus sp,Stolephorus sp,Nematoda,Polychaete worm,Squilla sp,Trichiurus lepturus,Elops
2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,18,0,0,0,0
0,0,1,0,0,0,0,0,11,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,6,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,2,0,1,0,0
2,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,4
2,0,1,0,0,0,1,1,12,0,0,0,0
