S.No,Date,Shark_ID,gc_ID,Shark Species, Local/Common Name,Stomach Fullness,Prey Family,Prey Species,Condition,Number,Weight_gms
1,19-02-2022,SLM01,SLM01.1,Scoliodon laticaudus,Unidentified teleosts,2,Unidentified,Unidentified,0,3,0.3
2,19-02-2022,SLM02,SLM02.1,Scoliodon laticaudus,Unidentified teleosts,3,Unidentified,Unidentified,0,5,0.1
3,19-02-2022,SLM03,SLM03.1,Scoliodon laticaudus,Unidentified teleosts,3,Unidentified,Unidentified,0,5,0.3
4,21-02-2022,CLM05,CLM05.1,Carcharhinus limbatus,Indian Squid,5,Loliginidae,Loligo duvauceli,1,2,3.24
5,21-02-2022,CLM05,CLM05.2,Carcharhinus limbatus,Unidentified teleosts,5,Unidentified,Unidentified,0,5,0.3
6,21-02-2022,CGF01,CGF01.1,Chiloscyllium griseum,Swimming crab,5,Portunidae,Charybdis sp,1,2,4.86
7,21-02-2022,CGF02,CGF02.1,Chiloscyllium griseum,Unidentified teleosts,3,Unidentified,Unidentified,5,2,2.2
8,24-02-2022,SLF04,SLF04.1,Scoliodon laticaudus,Kadal shrimp,3,Penaeidae,Metapenaeus sp,2,1,2.52
9,24-02-2022,SLF05,SLF05.1,Scoliodon laticaudus,Indian Squid,4,Loliginidae,Loligo duvauceli,2,1,1.36
10,24-02-2022,SLF05,SLF05.2,Scoliodon laticaudus,Kadal shrimp,4,Penaeidae,Metapenaeus sp,2,1,0.55
11,24-02-2022,SLF06,SLF06.1,Scoliodon laticaudus,Kadal shrimp,3,Penaeidae,Metapenaeus sp,1,1,1.55
12,24-02-2022,CLF06,CLF06.1,Carcharhinus limbatus,Unidentified teleosts,2,Unidentified,Unidentified,4,1,0.1
13,25-02-2022,CGM05,CGM05.1,Chiloscyllium griseum,,3,Nematoda,Nematoda,1,9,0.1
14,25-02-2022,CGM05,CGM05.2,Chiloscyllium griseum,Sardine,3,Clupeidae,Sardinella sp,3,1,1.02
15,25-02-2022,SLM08,SLM08.1,Scoliodon laticaudus,Kadal shrimp,4,Penaeidae,Metapenaeus sp,1,1,1.08
16,26-02-2022,SPLF01,SPLF01.1,Sphyrna lewini,Kiddi Shrimp,3,Penaeidae,Parapenaeopsis sp,2,2,1.07
17,03-03-2022,SLM11,SLM11.1,Scoliodon laticaudus,Squid,3,Loliginidae,Loligo duvauceli,4,2,1.53
18,03-03-2022,SLM11,SLM11.2,Scoliodon laticaudus,Striped shore crab,3,Grapsidae,Pachygrapsus sp,3,1,0.36
19,03-03-2022,CLF09,CLF09.1,Carcharhinus limbatus,Pedwa/Sardine,5,Clupeidae,Sardinella sp,2,1,26.83
