S.No,Date,Shark_ID,Shark Species,Total Length,Body Weight,Sex,Sexual Maturity,Depth caught(wav),Depth caught(m),Location,Gut content,Remarks
1,19-02-2022,SLM01,Scoliodon laticaudus,32,115,M,Juvenile,4.5,8.415,Vengurla lighthouse,Yes,
2,19-02-2022,SLM02,Scoliodon laticaudus,31,105,M,Juvenile,4.5,8.415,Vengurla lighthouse,Yes,
3,19-02-2022,SLM03,Scoliodon laticaudus,32,105,M,Juvenile,4.5,8.415,Vengurla lighthouse,Yes,
4,21-02-2022,CLF01,Carcharhinus limbatus,155,21000,F,Adult,18,33.66,Talashil,,
5,21-02-2022,CLF02,Carcharhinus limbatus,78,3050,F,Juvenile,18,33.66,Talashil,,
6,21-02-2022,CLF03,Carcharhinus limbatus,73,2000,F,Juvenile,18,33.66,Talashil,,
7,21-02-2022,CLF04,Carcharhinus limbatus,74,2100,F,Juvenile,18,33.66,Talashil,,
8,21-02-2022,CLM05,Carcharhinus limbatus,69,1760,M,Juvenile,18,33.66,Talashil,Yes,
9,21-02-2022,CGF01,Chiloscyllium griseum,54,1050,F,Adult,18,33.66,Talashil,Yes,
10,21-02-2022,CGF02,Chiloscyllium griseum,56,530,F,Adult,15,28.05,Aachara,Yes,
11,21-02-2022,CGF03,Chiloscyllium griseum,57,612,F,Adult,15,28.05,Aachara,,
12,24-02-2022,SLF04,Scoliodon laticaudus,24,102,F,Neonate,10,18.7,Aachara,Yes,
13,24-02-2022,SLF05,Scoliodon laticaudus,34,120,F,Juvenile,15,28.05,Aachara,Yes,
14,24-02-2022,SLF06,Scoliodon laticaudus,34.5,115,F,Juvenile,15,28.05,Aachara,Yes,
15,24-02-2022,CLF06,Carcharhinus limbatus,72,2800,F,Juvenile,20,37.4,Vengurla,Yes,
16,24-02-2022,SLM07,Scoliodon laticaudus,50.5,420,M,Adult,12,22.44,Vengurla,,
17,24-02-2022,CGF04,Chiloscyllium griseum,62.5,1200,F,Adult,10,18.7,Vengurla,,
18,25-02-2022,CGM05,Chiloscyllium griseum,59,490,M,Adult,15,28.05,Aachara,Yes,
19,25-02-2022,SLM08,Scoliodon laticaudus,48.5,390,M,Adult,19,35.53,Vengurla,Yes,
20,26-02-2022,CGF06,Chiloscyllium griseum,56.5,578,F,Adult,15,28.05,Aachara,,
21,26-02-2022,SPLF01,Sphyrna lewini,57,758,F,Juvenile,24,44.88,Aachara,Yes,
22,26-02-2022,CLM07,Carcharhinus limbatus,77,2265,M,Juvenile,22,41.14,Aachara,,
23,02-03-2022,CLM08,Carcharhinus limbatus,78,2680,M,Juvenile,8.5,15.895,Vengurla lighthouse,,
24,03-03-2022,SLM09,Scoliodon laticaudus,55.5,875,M,Juvenile,17,31.79,Sarjekot,,
25,03-03-2022,SLM10,Scoliodon laticaudus,41,230,M,Adult,17,31.79,Sarjekot,,
26,03-03-2022,SLM11,Scoliodon laticaudus,32,120,M,Juvenile,17,31.79,Sarjekot,Yes,
27,03-03-2022,CLF09,Carcharhinus limbatus,73,2615,F,Adult,Unknown,,,Yes,
28,03-03-2022,CGM07,Chiloscyllium griseum,61,1090,M,Adult,5.5,10.285,Sindhudurg fort,,
