Shark,Depth,Location,Loliginidae,Portunidae,Penaeidae,Nematoda,Clupeidae,Squillidae,Cynoglossidae,Engraulidae
Carcharhinus limbatus,33.66,Talashil,0.105263158,0,0,0,0,0,0,0
Chiloscyllium sp,33.66,Talashil,0,0.181818182,0,0,0,0,0,0
Scoliodon laticaudus,18.7,Aachara,0,0,0.027027027,0,0,0,0,0
Scoliodon laticaudus,28.05,Aachara,0.047619048,0,0.027027027,0,0,0,0,0
Scoliodon laticaudus,28.05,Aachara,0,0,0.027027027,0,0,0,0,0
Chiloscyllium sp,28.05,Aachara,0,0,0,0.073770492,1,0,0,0
Scoliodon laticaudus,35.53,Vengurla,0,0,0.027027027,0,0,0,0,0
Scoliodon laticaudus,31.79,Sarjekot,0,0,0.4,0,0,0,0,0
Carcharhinus limbatus,41.14,Vengurla,0.095238095,0,0,0,0,0,0,0
Scoliodon laticaudus,35.53,Vengurla,0.052631579,0,0.5,0,0.1,0,0,0
Chiloscyllium sp,18.7,Aachara,0.333333333,0,0,0,0,0,0,0
Chiloscyllium sp,34.6,Vengurla,0,0,0.054054054,0,0,0,0,0
Chiloscyllium sp,22.44,Aachara,0,0,0.4,0,0,0,0,0
Chiloscyllium sp,22.44,Aachara,0,0,0,0.147540984,0,0,0,0
Chiloscyllium sp,22.44,Aachara,0.043478261,0,0,0,0,0,0,0
Chiloscyllium sp,22.44,Aachara,0.043478261,0,0.076923077,0.090163934,0,0,0,0
Carcharhinus limbatus,33.66,Devgad,0.086956522,0,0,0,0,0,0,0
Carcharhinus limbatus,31.79,Devgad,0.043478261,0,0,0,0,0,0,0
Carcharhinus limbatus,39.27,Malvan,0,0,0,0.106557377,0,0,0,0
Chiloscyllium sp,37.4,Malvan,0,0,0,0,0,0,0,0
Chiloscyllium sp,37.4,Malvan,0.105263158,0,0.5,0,0,0,0,0
Chiloscyllium sp,37.4,Malvan,0.333333333,0,0,0,0,0,0,0
Chiloscyllium sp,33.66,Malvan,0.166666667,0,0.2,0,0,0,0,0
Chiloscyllium sp,26.18,Aachara,0.157894737,0,0,0,0.2,0,0,0
Scoliodon laticaudus,28.05,Malvan,0,0,0,0,0,0,0,0
Chiloscyllium sp,26.18,Aachara,0.043478261,0,0,0.098360656,0,0,0,0
Chiloscyllium sp,26.18,Aachara,0.043478261,0,0,0,0,0.25,0,0
Chiloscyllium sp,23.38,Aachara,0.043478261,0,0,0,0,0,0,0
Scoliodon laticaudus,23.38,Aachara,0,0,0.076923077,0,0,0,0,0
Chiloscyllium sp,27.115,Aachara,0,0,0.027027027,0,0,0,0,0
Chiloscyllium sp,27.115,Aachara,0,0,0.076923077,0,0,0,0,0
Chiloscyllium sp,27.115,Aachara,0.043478261,0,0.076923077,0.049180328,0,0,0,0
Chiloscyllium sp,27.115,Aachara,0.043478261,0,0,0,0,0,0,0
Scoliodon laticaudus,20.57,Devgad,0,0,0.027027027,0,0,0,0,0
Chiloscyllium sp,18.7,Aachara,0.043478261,0,0,0,0,0,0,0
Scoliodon laticaudus,24.31,Sindhudurg fort,0.043478261,0,0,0,0,0,0,0
Scoliodon laticaudus,24.31,Sindhudurg fort,0.043478261,0,0,0.016393443,0,0,0,0
Scoliodon laticaudus,24.31,Sindhudurg fort,0,0,0.230769231,0,0,0,0,0
Scoliodon laticaudus,24.31,Sindhudurg fort,0.095238095,0,0,0,0,0,0,0
Scoliodon laticaudus,43.01,Vengurla,0,0,0,0,0,0,0.25,0
Chiloscyllium sp,,,0.047619048,0,0,0,0,0,0,0
Chiloscyllium sp,,,0,0,0.054054054,0,0,0,0,0
Carcharhinus limbatus,,,0.095238095,0,0,0,0,0,0,0
Scoliodon laticaudus,41.14,Aachara,0.047619048,0,0,0,0,0,0,0
Scoliodon laticaudus,41.14,Aachara,0,0,0.054054054,0,0,0,0,0
Scoliodon laticaudus,41.14,Aachara,0,0,0,0.12295082,0,0,0,0
Chiloscyllium sp,18.7,Devgad,0,0,0,0.073770492,0,0,0,0
Chiloscyllium sp,18.7,Devgad,0,0,0,0,0.2,0,0,0
Chiloscyllium sp,18.7,Devgad,0,0.166666667,0,0,0,0,0,0
Carcharhinus limbatus,50.49,Aachara,0,0,0,0,0,0.066666667,0,0
